m3u_name,provider_id,matched_epg_channel_id,epg_display_names,match_strategy,uses_placeholder_epg
TV2 Sport X DK,86894,tv2sportx.dk,TV2 Sport X DK,"norm match (multi, chose dk)",
TV2 Sport X HD DK,50294,tv2sportx.dk,TV2 Sport X DK,"norm match (multi, chose dk)",
TV2 Nord HD DK,18447,tv2nordsalto.dk,TV2 Nord Salto HD DK,exact norm match,
TV2 Fyn HD DK,18452,tv2fyn.dk,TV2 Fyn HD DK,exact norm match,
TV2 Bornholm HD DK,904900,tv2bornholm.dk,TV2 Bornholm HD DK,"norm match (multi, chose dk)",
TV2 Bornholm FHD DK,18450,tv2bornholm.dk,TV2 Bornholm HD DK,"norm match (multi, chose dk)",
TV2 Syd HD DK,72574,tv2sydplus.dk,TV2 Syd HD DK,exact norm match,
TV2 Øst DK,86911,,,no match,yes
TV2 Øst HD DK,47846,,,no match,yes
TV2 Østjylland DK,18442,tv2ostjylland.dk,TV2 Østjylland HD DK,"norm match (multi, chose dk)",
TV2 Østjylland HD DK,904902,tv2ostjylland.dk,TV2 Østjylland HD DK,"norm match (multi, chose dk)",
TV2 Kosmopol HD DK,673395,tv2lorry.dk,TV2 Kosmopol FHD DK,"norm match (multi, chose dk)",
TV2 Kosmopol FHD DK,1076324,tv2lorry.dk,TV2 Kosmopol FHD DK,"norm match (multi, chose dk)",
TV2 Nord Salto HD DK,904903,tv2nordsalto.dk,TV2 Nord Salto HD DK,exact norm match,
TV2 Midt-Vest DK,1205958,tv2midtvest.dk,TV2 Midt-Vest DK,exact norm match,
TV2 Play 1 HD DK,193114,,,no match,yes
TV2 Play 2 HD DK,193115,,,no match,yes
TV2 Play 3 FHD DK,193116,,,no match,yes
TV Midtvest HD DK,19771,tv2midtvest.dk,TV2 Midt-Vest DK,exact norm match,
Folketinget HD DK,1238627,folketinget.dk,Folketinget HD DK,"norm match (multi, chose dk)",
Folketinget FHD DK,341484,folketinget.dk,Folketinget HD DK,"norm match (multi, chose dk)",
TV3 DK,295213,tv3.dk,TV3 DK,"norm match (multi, chose dk)",
TV3 HD DK,8207,tv3.dk,TV3 DK,"norm match (multi, chose dk)",
TV3 FHD DK,20565,tv3.dk,TV3 DK,"norm match (multi, chose dk)",
TV3+ DK,83453,tv3.dk,TV3 DK,"norm match (multi, chose dk)",
TV3+ HD DK,11673,tv3.dk,TV3 DK,"norm match (multi, chose dk)",
TV3+ FHD DK,19770,tv3.dk,TV3 DK,"norm match (multi, chose dk)",
